name,lower,upper,plus
Little Big Town,100.0,150.0,0
Lloyd,20.0,30.0,0
Lloyd Dobler Effect,2.0,5.0,0
Local Natives,30.0,30.0,1
Logic,20.0,25.0,0
Lonestar,60.0,75.0,1
Lord T. & Eloise,2.5,5.0,0
Lorde,150.0,250.0,0
Lorrie Morgan,35.0,40.0,0
Los Lobos,20.0,35.0,0
Los Lonely Boys,25.0,40.0,0
Lotus,25.0,30.0,0
Louie Morgan,25.0,25.0,1
Love & Theft,20.0,30.0,0
Ludacris,60.0,80.0,0
Ludo,10.0,20.0,0
Luke Bryan,250.0,400.0,0
Luke Christopher,5.0,5.0,1
Lupe Fiasco,60.0,85.0,0
MC Chris,4.0,6.0,0
MC Lars,2.5,5.0,0
MGMT,85.0,100.0,1
MIA,40.0,50.0,1
MIMS,10.0,10.0,1
MOE,35.0,50.0,1
Mac Miller,85.0,100.0,1
Macklemore,200.0,300.0,1
Macy Gray,20.0,30.0,1
Madonna,1000.0,1000.0,1
Maps & Atlasas,3.0,5.0,0
Marc Broussard,15.0,20.0,1
Marc Colin,10.0,15.0,0
Margo & the Nuclear,5.0,10.0,0
Mario,20.0,30.0,0
Mark Wills,20.0,20.0,1
Maroon 5,400.0,600.0,1
Martina McBride,125.0,175.0,0
Mason Jennings,7.0,10.0,0
Mat Kearney,20.0,30.0,1
Matchbox 20,150.0,250.0,1
Matisyahu,40.0,50.0,1
Matt & Kim,35.0,50.0,1
Matt Costa,7.0,10.0,0
Matt Nathanson,40.0,60.0,1
Matt Wertz,7.0,10.0,0
Max Weinberg Big Ba,15.0,20.0,1
Maxwell,100.0,100.0,1
Mayday Parade,15.0,25.0,0
Menomena,7.0,10.0,0
Merle Haggard,100.0,100.0,0
Michael Franti & Spe,40.0,60.0,0
Michael Glabicki,3.0,5.0,0
Michael Kiwanuka,20.0,50.0,0
Michael Tolcher,3.0,5.0,0
Michelle Branch,30.0,40.0,0
Mighty Mighty Bosst,40.0,50.0,0
Miguel,45.0,75.0,0
Miike Snow(DJ Only,30.0,30.0,0
Mike Doughty,7.0,10.0,0
Mike Gordon,20.0,20.0,1
Mike Posner,40.0,50.0,0
Mindy Smith,10.0,20.0,0
Minus The Bear,30.0,30.0,0
Miranda Lambert,150.0,250.0,1
Mobb Deep,20.0,30.0,0
Mogwai,25.0,35.0,0
Montell Jordan,20.0,30.0,0
Moon Taxi,5.0,10.0,0
Mord Fustang,25.0,35.0,0
Morrissey,100.0,100.0,0
Motion City Soundtra,30.0,40.0,0
Mumford & Sons,500.0,750.0,1
Muse,150.0,150.0,1
Musiq,25.0,30.0,0
Mute Math,25.0,35.0,0
Myth Busters,100.0,150.0,0
N. Miss All-Stars,10.0,15.0,0
NERD,50.0,75.0,1
Nappy Roots,5.0,10.0,0
Nas,75.0,100.0,1
Natalie Stovall,5.0,10.0,0
Naturally 7,20.0,20.0,1
Navid Izadi,5.0,10.0,0
Ne-Yo,75.0,100.0,0
Needtobreathe,45.0,60.0,0
Nelly's Echo,1.5,2.0,0
Neon Trees,40.0,45.0,0
Nervo,25.0,35.0,0
New Boyz,15.0,20.0,0
NexCyx,3.0,5.0,0
Nick Monaco,5.0,10.0,0
Nickel Creek,40.0,60.0,0
Nicki Minaj,200.0,300.0,1
Nickleback,350.0,500.0,0
Nitty Gritty Dirt Band,25.0,30.0,1
No Doubt,500.0,750.0,1
Noah & the Whale,10.0,15.0,0
Norah Jones,50.0,75.0,0
OAR,60.0,80.0,0
OK Go,35.0,50.0,0
Odd Future,50.0,75.0,0
Of Monsters & Men,150.0,250.0,1
Of Montreal,15.0,25.0,0
Old 97's,20.0,25.0,0
Olly Murs,40.0,60.0,0
One Direction,150.0,200.0,1
One Eskimo,8.0,15.0,0
One Republic,100.0,200.0,0
Owl City,40.0,60.0,1
Ozomatli,20.0,30.0,0
P.O.D.,30.0,40.0,0
PM Dawm,5.0,10.0,0
PSY,100.0,150.0,0
Pam Tillis,20.0,20.0,0
Panic! At the Disco,50.0,50.0,1
Paolo Nutini,20.0,30.0,0
Papa Roach,40.0,50.0,1
Parachute,15.0,20.0,0
Paramore,125.0,175.0,0
Passenger,25.0,35.0,1
Passion Pit,100.0,150.0,0
Pat Benatar,50.0,75.0,0
Pat Green,25.0,40.0,0
